gene_a.name	gene_a.identifier	gene_b.name	gene_b.identifier	SL.cell_line	SL.pubmed_id	SL.source	SL.statistic_score
MMP23B	8510	PTCD1	26024	null	29959327	Computational Prediction	0.3
KCTD12	115207	PTCD1	26024	null	29959327	Computational Prediction	0.3
DOK6	220164	PTCD1	26024	null	29959327	Computational Prediction	0.3
GOPC	57120	PTCD1	26024	null	29959327	Computational Prediction	0.3
PPP2R1A	5518	PTCD1	26024	K562	31300006	CRISPR/CRISPRi	0.15
NDEL1	81565	PTCD1	26024	null	29959327	Computational Prediction	0.3
FMN2	56776	PTCD1	26024	null	29959327	Computational Prediction	0.3
ANTXR2	118429	PTCD1	26024	null	29959327	Computational Prediction	0.3
KCTD10	83892	PTCD1	26024	K562	31300006	CRISPR/CRISPRi	0.21
EXOSC9	5393	PTCD1	26024	Jurkat	31300006	CRISPR/CRISPRi	0
MTF1	4520	PTCD1	26024	null	29959327	Computational Prediction	0.3
NFATC1	4772	PTCD1	26024	null	29959327	Computational Prediction	0.3
INPP5B	3633	PTCD1	26024	null	29959327	Computational Prediction	0.3
CCBE1	147372	PTCD1	26024	null	29959327	Computational Prediction	0.3
POLR2K	5440	PTCD1	26024	Jurkat	31300006	CRISPR/CRISPRi	0.04
ARHGAP17	55114	PTCD1	26024	null	29959327	Computational Prediction	0.3
NCAM2	4685	PTCD1	26024	null	29959327	Computational Prediction	0.3
NACA	4666	PTCD1	26024	Jurkat	31300006	CRISPR/CRISPRi	0.18
NAV3	89795	PTCD1	26024	null	29959327	Computational Prediction	0.3
EOGT	285203	PTCD1	26024	null	29959327	Computational Prediction	0.3
MAPKAP1	79109	PTCD1	26024	K562	31300006	CRISPR/CRISPRi	0.34
CASP1	834	PTCD1	26024	null	29959327	Computational Prediction	0.3
MFAP4	4239	PTCD1	26024	null	29959327	Computational Prediction	0.3
RFLNB	359845	PTCD1	26024	null	29959327	Computational Prediction	0.3
GALNT15	117248	PTCD1	26024	null	29959327	Computational Prediction	0.3
NEXN	91624	PTCD1	26024	null	29959327	Computational Prediction	0.3
MED13L	23389	PTCD1	26024	null	29959327	Computational Prediction	0.3
HERC3	8916	PTCD1	26024	null	29959327	Computational Prediction	0.3
IFITM2	10581	PTCD1	26024	null	29959327	Computational Prediction	0.3
DACT1	51339	PTCD1	26024	null	29959327	Computational Prediction	0.3
AIMP1	9255	RAP1GDS1	5910	null	25171417	Computational Prediction	0.2
CSK	1445	RAP1GDS1	5910	null	29987050	High Throughput	null
NRAS	4893	RAP1GDS1	5910	DLD-1	19490893	GenomeRNAi	0.446
HRAS	3265	RAP1GDS1	5910	DLD-1	19490893	GenomeRNAi	0.446
CSK	1445	HIVEP1	3096	null	29987050	High Throughput	null
NAE1	8883	SRM	6723	A375	23100467	GenomeRNAi	0.5
BLM	641	SRM	6723	COAD	24104479	Text Mining	0.6
CREBBP	1387	DDX10	1662	BRCA	25407795	Text Mining	0.4
BRCA2	675	DDX10	1662	BRCA	25407795	Text Mining	0.4
BUD13	84811	DDX10	1662	null	25171417	Computational Prediction	0.2
CDH1	999	DDX10	1662	BRCA	25407795	Text Mining	0.4
BIRC3	330	DDX10	1662	BRCA	25407795	Text Mining	0.4
ABCC4	10257	DDX10	1662	BRCA	25407795	Text Mining	0.4
CCT2	10576	DDX10	1662	BRCA	25407795	Text Mining	0.4
ACAT1	38	DDX10	1662	null	25171417	Computational Prediction	0.2
BCL10	8915	DDX10	1662	BRCA	25407795	Text Mining	0.4
NARS2	79731	DDX10	1662	BRCA	25407795	Text Mining	0.4
NAE1	8883	TMBIM6	7009	A375;A375;A375	23100467	GenomeRNAi	0.611
KRAS	3845	NAB1	4664	COAD	24104479	Text Mining	0.6
KY	339855	PSMF1	9491	null	29959327	Computational Prediction	0.3
NRAS	4893	PSMF1	9491	DLD-1	19490893	GenomeRNAi	0.44
HRAS	3265	PSMF1	9491	DLD-1	19490893	GenomeRNAi	0.44
KRAS	3845	PSMF1	9491	DLD-1	19490893	GenomeRNAi	0.44
HRAS	3265	MNDA	4332	DLD-1	19490893	GenomeRNAi	0.449
NEUROG2	63973	MNDA	4332	null	25171417	Computational Prediction	0.3
GPR183	1880	MNDA	4332	null	25171417	Computational Prediction	0.3
PSMA1	5682	PSMD13	5719	null	25171417	Computational Prediction	0.2
CSK	1445	IFT52	51098	null	29987050	High Throughput	null
PTEN	5728	MOB3B	79817	COAD	24104479	Text Mining	0.6
ABCB11	8647	C1S	716	HeLa	17000754	GenomeRNAi	0.5
ABCC1	4363	C1S	716	HeLa	17000754	GenomeRNAi	0.5
ABCC10	89845	C1S	716	HeLa	17000754	GenomeRNAi	0.5
BCL2	596	C1S	716	HeLa	17000754	GenomeRNAi	0.5
ABCB1	5243	C1S	716	HeLa	17000754	GenomeRNAi	0.5
ABCC2	1244	C1S	716	HeLa	17000754	GenomeRNAi	0.5
ABCG2	9429	C1S	716	HeLa	17000754	GenomeRNAi	0.5
COLGALT2	23127	SLC35F2	54733	null	29959327	Computational Prediction	0.3
ACY1	95	CIT	11113	LAML	28319085	CRISPR/CRISPRi	0.68
AKT2	208	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.4
BCL2L2	599	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.14
ACVR1	90	CIT	11113	LAML	28319085	CRISPR/CRISPRi	0.68
CHD1	1105	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.05
CDC25A	993	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.01
CDK8	1024	CIT	11113	LAML	28319085	CRISPR/CRISPRi	0.68
KRAS	3845	CIT	11113	null	27655641	RNAi Screen	0.4
KIFC1	3833	CIT	11113	null	25171417	Computational Prediction	0.3
CARM1	10498	CIT	11113	LAML	28319085	CRISPR/CRISPRi	0.68
ALK	238	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.07
ALAD	210	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.34
ATR	545	CIT	11113	LAML	28319085	CRISPR/CRISPRi	0.68
CDK12	51755	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.34
CDC25B	994	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.27
AMHR2	269	CIT	11113	LAML	28319085	CRISPR/CRISPRi	0.68
BRCA2	675	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.52
ACVRL1	94	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.03
BSG	682	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.51
ARIH1	25820	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.23
CA9	768	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.03
BCL2L1	598	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.51
BRD2	6046	CIT	11113	K562	31300006	CRISPR/CRISPRi	0.19
KRAS	3845	COPA	1314	COAD	24104479	Text Mining	0.6
BLM	641	COPA	1314	COAD	24104479	Text Mining	0.6
LCLAT1	253558	PTDSS2	81490	null	29959327	Computational Prediction	0.3
FMO5	2330	PTDSS2	81490	null	29959327	Computational Prediction	0.3
EXT1	2131	PTDSS2	81490	null	29959327	Computational Prediction	0.3
LIPH	200879	PTDSS2	81490	null	29959327	Computational Prediction	0.3
HRAS	3265	MAGEC3	139081	DLD-1	19490893	GenomeRNAi	0.446
KRAS	3845	MAGEC3	139081	DLD-1	19490893	GenomeRNAi	0.446
KRAS	3845	ZCCHC14	23174	null	28700943	High Throughput	null
KRAS	3845	DENND10	404636	COAD	24104479	Text Mining	0.6
HRAS	3265	PKD1L3	342372	DLD-1	19490893	GenomeRNAi	0.446
NRAS	4893	PKD1L3	342372	DLD-1	19490893	GenomeRNAi	0.446
NAE1	8883	TRAF5	7188	A375;A375	23100467	GenomeRNAi	0.575
CSK	1445	TRAF5	7188	null	29987050	High Throughput	null
KRAS	3845	TRAF5	7188	COAD	24104479	Text Mining	0.6
PTEN	5728	ZFP91	80829	COAD	24104479	Text Mining	0.6
MCM10	55388	FANCG	2189	null	25171417	Computational Prediction	0.3
CYP2C9	1559	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
ABCC2	1244	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
CYP2C8	1558	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
CYP3A4	1576	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
CYP1B1	1545	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
ABCB1	5243	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
ABCB11	8647	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
MGRN1	23295	HCFC1	3054	null	25171417	Computational Prediction	0.3
ABCC10	89845	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
UBA1	7317	HCFC1	3054	null	25171417	Computational Prediction	0.3
ZNF500	26048	HCFC1	3054	null	25171417	Computational Prediction	0.3
CYP3A5	1577	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
BCL2	596	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
ABCC1	4363	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
CYP3A7	1551	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
ABCG2	9429	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
CYP19A1	1588	HCFC1	3054	HeLa	17000754	GenomeRNAi	0.5
PTTG1	9232	SLC7A10	56301	COAD	24104479	Text Mining	0.6
CDH1	999	PLXNB1	5364	null	25171417	Computational Prediction	0.167
FZR1	51343	PLXNB1	5364	null	25171417	Computational Prediction	0.3
MRPL21	219927	WDR74	54663	null	25171417	Computational Prediction	0.2
GART	2618	WDR74	54663	null	25171417	Computational Prediction	0.3
PRPF19	27339	WDR74	54663	null	25171417	Computational Prediction	0.2
KRAS	3845	WDR74	54663	null	28700943	High Throughput	null
NDUFV1	4723	WDR74	54663	null	25171417	Computational Prediction	0.2
MUS81	80198	BTN2A2	10385	COAD	24104479	Text Mining	0.6
BTN2A1	11120	BTN2A2	10385	null	25171417	Computational Prediction	0.2
KRAS	3845	OR2H2	7932	null	27655641	RNAi Screen	0.4
NRAS	4893	OR2H2	7932	DLD-1	19490893	GenomeRNAi	0.458
HRAS	3265	OR2H2	7932	DLD-1	19490893	GenomeRNAi	0.458
DPM1	8813	MOCS3	27304	null	25171417	Computational Prediction	0.2
HNRNPF	3185	MOCS3	27304	null	25171417	Computational Prediction	0.3
KRAS	3845	NAPA	8775	COAD	24104479	Text Mining	0.6
BLM	641	NAPA	8775	COAD	24104479	Text Mining	0.6
KRAS	3845	LRRN4CL	221091	DLD-1	19490893	GenomeRNAi	0.443
HRAS	3265	LRRN4CL	221091	DLD-1	19490893	GenomeRNAi	0.443
HRAS	3265	NOL6	65083	DLD-1	19490893	GenomeRNAi	0.503
KRAS	3845	NOL6	65083	DLD-1	19490893	GenomeRNAi	0.503
OGDH	4967	ZMIZ2	83637	null	25171417	Computational Prediction	0.2
EZH2	2146	IQGAP1	8826	null	29959327	Computational Prediction	0.3
CCND3	896	IQGAP1	8826	null	29959327	Computational Prediction	0.3
CDK2	1017	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.551
ATM	472	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.557
ERCC1	2067	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.551
BRCA1	672	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.545
CDK6	1021	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.551
EGFR	1956	IGFBP3	3486	"A549,PC3,MDA468;NA"	3965078;25171417	Decipher;Computational Prediction	0.627
DNTT	1791	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.557
H2AC8	3012	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.548
GTF2H1	2965	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.551
HTRA1	5654	IGFBP3	3486	null	25171417	Computational Prediction	0.3
CDK4	1019	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.557
H4C1	8359	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.545
IGF1	3479	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.548
BID	637	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.539
CETN2	1069	IGFBP3	3486	"A549,PC3,MDA468"	3965078	Decipher	0.545
PTTG1	9232	GGA2	23062	COAD	24104479	Text Mining	0.6
DDX28	55794	GGA2	23062	null	25171417	Computational Prediction	0.3
PTEN	5728	GGA2	23062	COAD	24104479	Text Mining	0.6
CFL1	1072	NLGN1	22871	null	29959327	Computational Prediction	0.3
MAD2L1	4085	NAA15	80155	null	25171417	Computational Prediction	0.2
HRAS	3265	NAA15	80155	DLD-1;DLD-1	19490893	GenomeRNAi	0.53
KRAS	3845	NAA15	80155	null	27655641	RNAi Screen	0.4
BTG2	7832	MSMP	692094	prostate cancer_D011471	23258740	Text Mining	0.1775
AKT1	207	MSMP	692094	prostate cancer_D011471	23258740	Text Mining	0.1775
CDS1	1040	STYK1	55359	null	25171417	Computational Prediction	0.3
TP53	7157	STYK1	55359	null	24025726	Computational Prediction	0.3
GPRC5A	9052	STYK1	55359	null	25171417	Computational Prediction	0.2
BLM	641	TPST2	8459	COAD	24104479	Text Mining	0.6
LSG1	55341	MRPL47	57129	null	25171417	Computational Prediction	0.2
HRAS	3265	MVP	9961	DLD-1	19490893	GenomeRNAi	0.449
HRAS	3265	MICAL3	57553	DLD-1	19490893	GenomeRNAi	0.458
KRAS	3845	MICAL3	57553	DLD-1	19490893	GenomeRNAi	0.458
GLP1R	2740	SLC22A7	10864	null	25171417	Computational Prediction	0.2
HLA-DOA	3111	SLC22A7	10864	null	25171417	Computational Prediction	0.2
KRAS	3845	HIF1AN	55662	COAD	24104479	Text Mining	0.6
NAE1	8883	PRCC	5546	A375;A375;A375;A375;A375;HCT116	23100467	GenomeRNAi	0.644
GJA1	2697	PRCC	5546	null	29959327	Computational Prediction	0.3
NRAS	4893	OR9A2	135924	DLD-1	19490893	GenomeRNAi	0.479
HRAS	3265	OR9A2	135924	DLD-1	19490893	GenomeRNAi	0.479
BAX	581	MAPK1	5594	breast cancers;rhabdomyosarcoma_D001943;D012208	23532334;23684925	Text Mining	0.1775
AR	367	MAPK1	5594	castration-resistant prostate cancer_D011471	23566222	Text Mining	0.1775
EGFR	1956	MAPK1	5594	null	27655641	RNAi Screen	0.4
BRCA2	675	MAPK1	5594	Meljuso	31300006	CRISPR/CRISPRi	0.76
KRAS	3845	MAPK1	5594	null	26627737	High Throughput	null
BCL2L11	10018	MAPK1	5594	breast cancers;rhabdomyosarcoma_D001943;D012208	23532334;23684925	Text Mining	0.1775
AKT1	207	MAPK1	5594	castration-resistant prostate cancer;rhabdomyosarcoma_D011471;D012208	23070002;23566222;23684925	Text Mining	0.56
BAK1	578	MAPK1	5594	breast cancers_D001943	23532334	Text Mining	0.1775
JUN	3725	MAPK1	5594	castration-resistant prostate cancer_D011471	23566222	Text Mining	0.1775
CASP8	841	MAPK1	5594	cancer_D009369	23070002	Text Mining	0.1775
CFLAR	8837	MAPK1	5594	cancer_D009369	23070002	Text Mining	0.1775
CNBP	7555	MAPK1	5594	null	25171417	Computational Prediction	0.2
FADD	8772	MAPK1	5594	cancer_D009369	23070002	Text Mining	0.1775
CASP3	836	MAPK1	5594	castration-resistant prostate cancer_D011471	23566222	Text Mining	0.1775
ERBB2	2064	MAPK1	5594	breast cancers_D001943	23532334	Text Mining	0.1775
CHEK1	1111	MAPK1	5594	Meljuso	31300006	CRISPR/CRISPRi	0.72
BCL2L1	598	MAPK1	5594	rhabdomyosarcoma_D012208	23684925	Text Mining	0.1775
FOS	2353	MAPK1	5594	multiple myelomas;musculoaponeurotic fibrosarcoma_D009101;D005354	21163924	Text Mining	0.1775
EGF	1950	MAPK1	5594	pancreatic cancer_D010190	24403857	Text Mining	0.56
CASP9	842	MAPK1	5594	castration-resistant prostate cancer_D011471	23566222	Text Mining	0.1775
BRAF	673	MAPK1	5594	null	26627737	High Throughput	null
NRAS	4893	TMEM61	199964	DLD-1	19490893	GenomeRNAi	0.455
KRAS	3845	TMEM61	199964	DLD-1	19490893	GenomeRNAi	0.455
HRAS	3265	TMEM61	199964	DLD-1	19490893	GenomeRNAi	0.455
KRAS	3845	CCDC115	84317	null	28700943	High Throughput	null
KRAS	3845	UBE2J1	51465	null	28700943	High Throughput	null
NAE1	8883	UBE2J1	51465	A375;A375;A375	23100467	GenomeRNAi	0.611
MUS81	80198	YARS1	8565	COAD	24104479	Text Mining	0.6
IARS1	3376	YARS1	8565	null	25171417	Computational Prediction	0.3
CHAC1	79094	YARS1	8565	null	25171417	Computational Prediction	0.3
NAE1	8883	YARS1	8565	A375;A375;A375	23100467	GenomeRNAi	0.611
NRAS	4893	TMEM17	200728	DLD-1	19490893	GenomeRNAi	0.44
EHBP1	23301	TMEM17	200728	null	25171417	Computational Prediction	0.2
KRAS	3845	TMEM17	200728	DLD-1	19490893	GenomeRNAi	0.44
HRAS	3265	TMEM17	200728	DLD-1	19490893	GenomeRNAi	0.44
HRAS	3265	ING1	3621	DLD-1	19490893	GenomeRNAi	0.44
KRAS	3845	RNASET2	8635	COAD	24104479	Text Mining	0.6
FETUB	26998	VPREB1	7441	null	29959327	Computational Prediction	0.3
CD52	1043	FCER2	2208	null	25171417	Computational Prediction	0.3
ABL2	27	CYP11A1	1583	null	29959327	Computational Prediction	0.3
CHEK1	1111	NPAT	4863	null	25171417	Computational Prediction	0.2
BLM	641	CILK1	22858	COAD	24104479	Text Mining	0.6
HRAS	3265	CILK1	22858	DLD-1;DLD-1;DLD-1	19490893	GenomeRNAi	0.557
PTTG1	9232	CILK1	22858	COAD	24104479	Text Mining	0.6
STK39	27347	TCL1A	8115	B-cell lymphomas_D016393	19717643	Text Mining	0.56
GUCA2B	2981	TCL1A	8115	null	25171417	Computational Prediction	0.3
KRAS	3845	RPL22L1	200916	null	28700943	High Throughput	null
ADH6	130	RPL22L1	200916	null	29959327	Computational Prediction	0.3
ATRAID	51374	PDIA6	10130	null	25171417	Computational Prediction	0.2
CCNG2	901	CPA4	51200	null	29959327	Computational Prediction	0.3
BAG3	9531	CPA4	51200	null	25171417	Computational Prediction	0.3
RHOC	389	CPA4	51200	null	25171417	Computational Prediction	0.3
PARVB	29780	RBM39	9584	null	29959327	Computational Prediction	0.3
ADNP	23394	RBM39	9584	null	25171417	Computational Prediction	0.2
CORO2B	10391	RBM39	9584	null	29959327	Computational Prediction	0.3
ZBTB44	29068	RBM39	9584	null	25171417	Computational Prediction	0.3
NRAS	4893	RBM39	9584	DLD-1	19490893	GenomeRNAi	0.47
YTHDC1	91746	RBM39	9584	null	25171417	Computational Prediction	0.3
CCNL1	57018	RBM39	9584	null	25171417	Computational Prediction	0.2
HRAS	3265	RBM39	9584	DLD-1	19490893	GenomeRNAi	0.47
KRAS	3845	RBM39	9584	DLD-1	19490893	GenomeRNAi	0.47
MUS81	80198	MTUS1	57509	COAD	24104479	Text Mining	0.6
NAE1	8883	TMEM42	131616	A375;A375;A375;A375	23100467	GenomeRNAi	0.629
DCTN6	10671	TMEM230	29058	null	25171417	Computational Prediction	0.3
B3GNT2	10678	TMEM230	29058	null	25171417	Computational Prediction	0.173
NCBP2	22916	TMEM230	29058	null	25171417	Computational Prediction	0.3
SLC30A5	64924	TMEM230	29058	null	25171417	Computational Prediction	0.3
SNX2	6643	TMEM230	29058	null	25171417	Computational Prediction	0.3
KDELR2	11014	THBS1	7057	null	25171417	Computational Prediction	0.3
CSK	1445	THBS1	7057	null	29987050	High Throughput	null
SNX7	51375	THBS1	7057	null	25171417	Computational Prediction	0.3
SLC39A13	91252	THBS1	7057	null	25171417	Computational Prediction	0.3
F3	2152	THBS1	7057	null	25171417	Computational Prediction	0.3
CYTH3	9265	THBS1	7057	null	25171417	Computational Prediction	0.3
NAE1	8883	WDR4	10785	A375;A375;A375;A375;A375;HCT116;HCT116	23100467	GenomeRNAi	0.647
CDK2	1017	LTB4R	1241	LAML	28319085	CRISPR/CRISPRi	0.68
LCK	3932	LTB4R	1241	LAML	28319085	CRISPR/CRISPRi	0.68
ZC3H7B	23264	LTB4R	1241	null	25171417	Computational Prediction	0.3
NRAS	4893	SLC30A3	7781	DLD-1	19490893	GenomeRNAi	0.458
KRAS	3845	SLC30A3	7781	DLD-1	19490893	GenomeRNAi	0.458
HRAS	3265	SLC30A3	7781	DLD-1	19490893	GenomeRNAi	0.458
MAP3K4	4216	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
PTPRJ	5795	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
ALAD	210	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
CNTFR	1271	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
HCRT	3060	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
DMPK	1760	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
CAPN1	823	RPS6KA4	8986	null	25171417	Computational Prediction	0.2
TNFRSF12A	51330	RPS6KA4	8986	null	25171417	Computational Prediction	0.3
BCAT2	587	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
CYP4F12	66002	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
AKT1	207	RPS6KA4	8986	LAML	28319085	CRISPR/CRISPRi	0.68
PTEN	5728	TOMM70	9868	COAD	24104479	Text Mining	0.6
MYC	4609	TOMM70	9868	HMEC	22157079	GenomeRNAi	0.482
CIP2A	57650	PTPA	5524	non-small cell lung cancer_D002289	24954871	Text Mining	0.1775
MYC	4609	PTPA	5524	HMEC	22157079	GenomeRNAi	0.539
BLM	641	PTPA	5524	COAD	24104479	Text Mining	0.6
AKT1	207	PTPA	5524	non-small cell lung cancer_D002289	24954871	Text Mining	0.1775
PML	5371	PTPA	5524	cancer_D009369	17616632	Text Mining	0.1775
E2F1	1869	PTPA	5524	cancer_D009369	17616632	Text Mining	0.1775
PPP2R1A	5518	PTPA	5524	cancer_D009369	24425774	Text Mining	0.56
CHEK2	11200	PTPA	5524	cancer_D009369	17616632	Text Mining	0.1775
EGFR	1956	PTPA	5524	non-small cell lung cancer_D002289	24954871	Text Mining	0.1775
BRCA1	672	PTPA	5524	cancer_D009369	17616632	Text Mining	0.1775
MDM4	4194	PTPA	5524	cancer_D009369	17616632	Text Mining	0.1775
CDC25C	995	PTPA	5524	cancer_D009369	17616632	Text Mining	0.1775
PARP1	142	PTPA	5524	non-small cell lung cancer_D002289	24954871	Text Mining	0.1775
PTTG1	9232	TBC1D16	125058	COAD	24104479	Text Mining	0.6
BLM	641	TBC1D16	125058	COAD	24104479	Text Mining	0.6
MUS81	80198	TBC1D16	125058	COAD	24104479	Text Mining	0.6
HRAS	3265	MED13L	23389	DLD-1	19490893	GenomeRNAi	0.461
KRAS	3845	MED13L	23389	DLD-1	19490893	GenomeRNAi	0.461
CYC1	1537	AGO2	27161	null	25171417	Computational Prediction	0.2
FGD4	121512	TRIP10	9322	null	29959327	Computational Prediction	0.3
PTTG1	9232	TRIP10	9322	COAD	24104479	Text Mining	0.6
KRAS	3845	RTL6	84247	DLD-1	19490893	GenomeRNAi	0.446
HRAS	3265	RTL6	84247	DLD-1	19490893	GenomeRNAi	0.446
AURKA	6790	CACTIN	58509	K562	31300006	CRISPR/CRISPRi	0.17
AFG3L2	10939	CACTIN	58509	K562	31300006	CRISPR/CRISPRi	0.15
BLM	641	PFKFB2	5208	COAD	24104479	Text Mining	0.6
TJP3	27134	PFKFB2	5208	null	25171417	Computational Prediction	0.3
CSK	1445	PFKFB2	5208	null	29987050	High Throughput	null
POGZ	23126	PYGO2	90780	null	25171417	Computational Prediction	0.2
ITGB1	3688	PYGO2	90780	null	25171417	Computational Prediction	0.2
VAMP3	9341	PYGO2	90780	null	25171417	Computational Prediction	0.3
BCR	613	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
ALB	213	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CYP2D6	1565	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CYP1A2	1544	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
ABCA3	21	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CYP3A7	1551	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CSF1R	1436	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
ABL1	25	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
ABCB1	5243	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CYP3A5	1577	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CYP3A4	1576	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CYP2C19	1557	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
CYP2C9	1559	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
ABCG2	9429	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
DDR1	780	EDF1	8721	K562;K562	20609354	GenomeRNAi	0.506
ETAA1	54465	GDNF	2668	null	31615875	High Throughput	null
KRAS	3845	VWDE	221806	null	27655641	RNAi Screen	0.4
KRAS	3845	NUAK1	9891	null	27655641	RNAi Screen	0.4
GPX8	493869	NUAK1	9891	null	25171417	Computational Prediction	0.2
CSK	1445	TBC1D5	9779	null	29987050	High Throughput	null
CCDC174	51244	TBC1D5	9779	null	25171417	Computational Prediction	0.2
ANXA4	307	LTBR	4055	null	25171417	Computational Prediction	0.2
GPRC5A	9052	LTBR	4055	null	25171417	Computational Prediction	0.2
HEBP1	50865	LTBR	4055	null	25171417	Computational Prediction	0.2
CXCL1	2919	LTBR	4055	null	25171417	Computational Prediction	0.3
GDF15	9518	LTBR	4055	null	25171417	Computational Prediction	0.3
FOS	2353	SET	6418	multiple myelomas;musculoaponeurotic fibrosarcoma_D009101;D005354	21163924	Text Mining	0.1775
MAPK1	5594	SET	6418	multiple myelomas;musculoaponeurotic fibrosarcoma_D009101;D005354	21163924	Text Mining	0.1775
ACAP1	9744	SEMA4A	64218	null	25171417	Computational Prediction	0.3
DAPP1	27071	SEMA4A	64218	null	25171417	Computational Prediction	0.3
KRAS	3845	HAUS2	55142	COAD	24104479	Text Mining	0.6
ZNF611	81856	HAUS2	55142	null	25171417	Computational Prediction	0.3
BLM	641	TREX2	11219	COAD	24104479	Text Mining	0.6
NAE1	8883	TREX2	11219	HCT116	23100467	GenomeRNAi	0.5
PTTG1	9232	TREX2	11219	COAD	24104479	Text Mining	0.6
STMN2	11075	SOGA1	140710	null	29959327	Computational Prediction	0.3
NAE1	8883	RWDD4	201965	A375;A375;A375;A375	23100467	GenomeRNAi	0.629
CD248	57124	LRRC31	79782	null	29959327	Computational Prediction	0.3
LRCH4	4034	HACD1	9200	null	29959327	Computational Prediction	0.3
HRAS	3265	NMI	9111	DLD-1	19490893	GenomeRNAi	0.455
CSK	1445	CARMIL3	90668	null	29987050	High Throughput	null
MUS81	80198	CENPL	91687	COAD	24104479	Text Mining	0.6
PLK4	10733	CENPL	91687	null	25171417	Computational Prediction	0.3
PTEN	5728	UFD1	7353	COAD	24104479	Text Mining	0.6
MAPK1	5594	UFD1	7353	null	25171417	Computational Prediction	0.2
TRNT1	51095	TSEN2	80746	null	25171417	Computational Prediction	0.2
CHMP2A	27243	TSEN2	80746	K562	31300006	CRISPR/CRISPRi	0.15
BLM	641	TSEN2	80746	COAD	24104479	Text Mining	0.6
KCTD10	83892	TSEN2	80746	K562	31300006	CRISPR/CRISPRi	0.21
MYC	4609	TSEN2	80746	HMEC	22157079	GenomeRNAi	0.557
